Município;01 ESF - EQUIPE DE SAUDE DA FAMILIA;02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I;03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II;04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE;06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1;07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2;08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA;10 EACSSB_M1 - EQ AGENTES COMUNITµRIOS COM SAUDE BUCAL - MI;11 EACSSB_M2 - EQ AGENTES COMUNITµRIOS COM SAUDE BUCAL - MII;22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I;23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO;36 ESFTRANS      - ESF TRANSITORIA;40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I;41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II;45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3;46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II;49 EAP;51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL;52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II;54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III;Total
261040 Parnamirim;0;8;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
261050 Passira;6;6;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
261060 Paudalho;1;17;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20
261070 Paulista;23;21;0;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53
261080 Pedra;0;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
261090 Pesqueira;0;16;0;2;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;25
261100 Petrolândia;0;8;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;12
261110 Petrolina;45;45;0;0;9;0;0;0;0;3;1;0;0;1;0;0;0;0;0;1;105
261120 Poção;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
261130 Pombos;0;8;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
261140 Primavera;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
261150 Quipapá;0;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
261153 Quixaba;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
261160 Recife;110;124;34;67;20;0;0;3;1;9;3;0;2;0;0;0;1;0;0;5;379
261170 Riacho das Almas;1;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
261180 Ribeirão;0;12;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
261190 Rio Formoso;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
261200 Sairé;2;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
261210 Salgadinho;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
261220 Salgueiro;0;17;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;20
261230 Saloá;0;7;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
261240 Sanharó;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
261245 Santa Cruz;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
261247 Santa Cruz da Baixa Verde;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
261250 Santa Cruz do Capibaribe;9;9;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20
261255 Santa Filomena;3;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
261260 Santa Maria da Boa Vista;3;7;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
261270 Santa Maria do Cambucá;2;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
261280 Santa Terezinha;2;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
261290 São Benedito do Sul;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
261300 São Bento do Una;3;7;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;13
261310 São Caitano;2;8;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;14
261320 São João;0;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
261330 São Joaquim do Monte;0;9;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;12
261340 São José da Coroa Grande;0;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
261350 São José do Belmonte;4;3;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
261360 São José do Egito;0;11;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
261370 São Lourenço da Mata;14;11;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27
261380 São Vicente Ferrer;4;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
261390 Serra Talhada;1;21;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24
261400 Serrita;0;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
