"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA0CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL0CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CENTRAL DE NOTIF. CAPTAÇÃO E DISTR. ÓRGÃOS ESTADUA";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA 0 LACEN";"LABORATORIO DE SAUDE PUBLICA";"POLICLINICA";"OFICINA ORTOPEDICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE0HOSP0URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"POLO PREV.DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE";"Total"
"261460 Tabira";1;0;0;1;0;1;0;11;0;0;4;0;0;0;0;2;0;0;0;0;0;2;0;0;0;1;0;0;4;0;0;0;0;0;0;27
"261470 Tacaimbó";1;0;0;1;0;0;0;9;0;0;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;1;0;0;1;0;0;1;0;0;0;18
"261480 Tacaratu";1;0;0;0;0;1;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;1;0;1;0;0;0;0;15
"261485 Tamandaré";0;0;0;1;0;1;0;9;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;16
"261500 Taquaritinga do Norte";2;0;0;1;0;1;0;7;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;19
"261510 Terezinha";2;0;0;0;0;0;0;5;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;13
"261520 Terra Nova";0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0;9
"261530 Timbaúba";2;1;0;3;0;1;0;20;0;0;7;8;0;0;0;1;0;0;1;1;0;0;1;0;0;1;0;0;11;1;0;1;0;0;0;60
"261540 Toritama";0;1;0;1;0;1;0;9;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;3;1;0;1;0;0;0;21
"261550 Tracunhaém";0;0;0;1;0;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;10
"261560 Trindade";0;1;0;0;0;1;0;13;0;0;3;2;0;0;0;2;0;0;0;0;0;1;1;0;0;1;0;0;4;1;0;0;0;0;0;30
"261570 Triunfo";1;0;0;0;0;0;0;6;0;0;5;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2;0;1;0;0;0;0;19
"261580 Tupanatinga";1;0;0;1;0;1;0;6;0;0;2;0;0;0;0;1;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;16
"261590 Tuparetama";1;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;8
"261600 Venturosa";0;0;0;0;0;0;0;8;0;0;4;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;17
"261610 Verdejante";1;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;9
"261618 Vertente do Lério";1;0;0;1;0;0;0;4;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;11
"261620 Vertentes";1;0;0;0;0;0;0;4;0;0;3;3;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;1;1;1;0;0;18
"261630 Vicência";2;1;0;1;0;0;0;11;0;0;2;0;0;1;0;1;0;0;0;0;0;3;0;0;0;1;0;0;0;0;1;0;0;0;0;24
"261640 Vitória de Santo Antão";2;1;0;5;0;1;0;40;0;0;14;76;0;1;0;5;0;0;0;2;0;0;0;0;0;1;0;0;14;3;0;4;2;1;0;172
"261650 Xexéu";1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;7;0;0;0;1;0;0;1;0;1;1;0;0;0;16
